,StationId,StationName,City,State,Status,Location,Latitude,Longitude
55,GJ001,"Maninagar, Ahmedabad ",Ahmedabad,Gujarat,Active,"(22.9986596, 72.6114013)",22.9986596,72.6114013
56,GJ002,"GIDC, Ankleshwar ",Ankleshwar,Gujarat,,"(21.6363905, 72.9887017)",21.6363905,72.9887017
57,GJ003,"Sector-10, Gandhinagar ",Gandhinagar,Gujarat,,"(23.2156209, 72.6550405)",23.2156209,72.6550405
58,GJ004,"GIDC, Nandesari ",Nandesari,Gujarat,,,,
59,GJ005,"Phase-1 GIDC, Vapi ",Vapi,Gujarat,,,,
60,GJ006,"Phase-4 GIDC, Vatva ",Vatva,Gujarat,,"(22.9556699, 72.6367492)",22.9556699,72.6367492
61,HR001,"Patti Mehar, Ambala ",Ambala,Haryana,Active,,,
62,HR002,"Arya Nagar, Bahadurgarh ",Bahadurgarh,Haryana,Active,,,
63,HR003,"Nathu Colony, Ballabgarh ",Ballabgarh,Haryana,Active,,,
64,HR004,"H.B. Colony, Bhiwani ",Bhiwani,Haryana,Active,,,
65,HR005,"Municipal Corporation Office, Dharuhera ",Dharuhera,Haryana,Active,,,
66,HR006,"New Industrial Town, Faridabad ",Faridabad,Haryana,Active,,,
67,HR007,"Sector 11, Faridabad ",Faridabad,Haryana,Active,"(28.3759341, 77.3185441)",28.3759341,77.3185441
68,HR008,"Sector 30, Faridabad ",Faridabad,Haryana,Active,"(28.4427368, 77.3204489)",28.4427368,77.3204489
69,HR009,"Sector- 16A, Faridabad ",Faridabad,Haryana,Active,"(28.4096153, 77.3147814)",28.4096153,77.3147814
70,HR010,"Huda Sector, Fatehabad ",Fatehabad,Haryana,Active,,,
71,HR011,"NISE Gwal Pahari, Gurugram ",Gurugram,Haryana,Active,,,
72,HR012,"Sector-51, Gurugram ",Gurugram,Haryana,Active,"(28.4287011, 77.0666877)",28.4287011,77.0666877
73,HR013,"Teri Gram, Gurugram ",Gurugram,Haryana,Active,"(28.4271632, 77.1488113)",28.4271632,77.1488113
74,HR014,"Vikas Sadan, Gurugram ",Gurugram,Haryana,Active,,,
75,HR015,"Urban Estate-II, Hisar ",Hisar,Haryana,Active,"(29.140792, 75.742052)",29.140792,75.742052
76,HR016,"Police Lines, Jind ",Jind,Haryana,Active,,,
77,HR017,"Rishi Nagar, Kaithal ",Kaithal,Haryana,Active,,,
78,HR018,"Sector-12, Karnal ",Karnal,Haryana,Active,"(29.6982508, 77.0013135)",29.6982508,77.0013135
79,HR019,"Sector-7, Kurukshetra ",Kurukshetra,Haryana,Active,"(29.9698482, 76.8733321)",29.9698482,76.8733321
80,HR020,"General Hospital, Mandikhera ",Mandikhera,Haryana,Active,"(27.9001071, 76.9937678)",27.9001071,76.9937678
81,HR021,"Sector-2 IMT, Manesar ",Manesar,Haryana,Active,"(28.3671851, 76.920669)",28.3671851,76.920669
82,HR022,"Shastri Nagar, Narnaul ",Narnaul,Haryana,Active,,,
83,HR023,"Shyam Nagar, Palwal ",Palwal,Haryana,Active,,,
84,HR024,"Sector-6, Panchkula ",Panchkula,Haryana,Active,"(30.7062831, 76.8573289)",30.7062831,76.8573289
85,HR025,"Sector-18, Panipat ",Panipat,Haryana,Active,"(29.437146, 76.9759344)",29.437146,76.9759344
86,HR026,"MD University, Rohtak ",Rohtak,Haryana,Active,,,
87,HR027,"F-Block, Sirsa ",Sirsa,Haryana,Active,,,
88,HR028,"Murthal, Sonipat ",Sonipat,Haryana,Active,"(29.0396149, 77.0894535)",29.0396149,77.0894535
89,HR029,"Gobind Pura, Yamuna Nagar ",Yamuna Nagar,Haryana,Active,,,
90,JH001,"Tata Stadium, Jorapokhar ",Jorapokhar,Jharkhand,Active,,,
91,KA001,"Vidayagiri, Bagalkot ",Bagalkot,Karnataka,,,,
92,KA002,"BTM Layout, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9140008, 77.6102821)",12.9140008,77.6102821
93,KA003,"BWSSB Kadabesanahalli, Bengaluru ",Bengaluru,Karnataka,Active,,,
94,KA004,"Bapuji Nagar, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9556699, 77.5402492)",12.9556699,77.5402492
95,KA005,"City Railway Station, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9781739, 77.5695603)",12.9781739,77.5695603
