stationid,year,season,aqi_mean,latitude,longitude,closest_reservoir_distance,mean_distance_3_nearest_reservoirs,closest_reservoir_name,reservoir_density_100km,inverse_distance_score_100km,storage_weighted_inverse_score_100km,level_weighted_inverse_score_100km,log_closest_reservoir_distance,log_mean_distance_3_nearest_reservoirs
AP001,2018,1,120.74157303370787,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2018,2,81.05555555555556,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2018,3,71.60714285714286,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2018,4,134.88059701492537,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2019,1,138.45555555555555,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2019,2,82.95402298850574,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2019,3,48.765957446808514,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2019,4,99.55294117647058,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2020,1,69.27472527472527,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2020,2,50.54945054945055,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP001,2020,3,54.0,16.5384664,80.487276,135.13365192262782,186.19391492414843,Nagarjuna Sagar,0,0.0,0.0,0.0,4.913637137893618,5.232145057768098
AP005,2018,1,161.25581395348837,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2018,2,84.44444444444444,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2018,3,97.8170731707317,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2018,4,146.88311688311688,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2019,1,171.35632183908046,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2019,2,107.15730337078652,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2019,3,90.26582278481013,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2019,4,122.30232558139535,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2020,1,102.55681818181819,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2020,2,67.40449438202248,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AP005,2020,3,50.0,17.7151271,83.1997752,99.79636714692599,115.04446045072474,Machkund\Jalaput Reservoir,1,0.009920992475277888,0.0012674067887167501,8.177325962537303,4.613102314778737,4.753973397421072
AS001,2019,1,208.95238095238096,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
AS001,2019,2,91.02247191011236,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
AS001,2019,3,82.2,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
AS001,2019,4,170.5934065934066,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
AS001,2020,1,250.34065934065933,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
AS001,2020,2,74.05494505494505,26.1808827,91.7824864,250.77103837298003,352.1245893793708,Doyang Hep,0,0.0,0.0,0.0,5.528520096619352,5.866820939080548
