stationid,year,season,aqi_mean,latitude,longitude,closest_nuclear_distance,mean_distance_3_nearest,closest_nuclear_plant,nuclear_density_100km,inverse_distance_score_100km,log_closest_nuclear_distance,log_mean_distance_3_nearest
AP005,2020,1,102.55681818181819,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2020,2,67.40449438202248,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2020,3,50.0,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AS001,2019,1,208.95238095238096,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2019,2,91.02247191011236,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2019,3,82.2,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2019,4,170.5934065934066,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2020,1,250.34065934065933,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2020,2,74.05494505494505,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
AS001,2020,3,36.0,26.1808827,91.7824864,1340.3720536165024,1531.6434657023594,N.A.P.S,0,0.0,7.201448289705136,7.3347492788951785
BR005,2020,1,204.19230769230768,25.5854515,85.0448266,717.4358957169222,873.2870893517447,N.A.P.S,0,0.0,6.57707648193811,6.773408799237765
BR005,2020,2,83.54166666666667,25.5854515,85.0448266,717.4358957169222,873.2870893517447,N.A.P.S,0,0.0,6.57707648193811,6.773408799237765
BR005,2020,3,198.0,25.5854515,85.0448266,717.4358957169222,873.2870893517447,N.A.P.S,0,0.0,6.57707648193811,6.773408799237765
BR006,2020,1,212.1153846153846,25.5929006,85.2246868,733.4829856195138,890.6740268748423,N.A.P.S,0,0.0,6.599166830770427,6.793100625067005
BR006,2020,2,114.6,25.5929006,85.2246868,733.4829856195138,890.6740268748423,N.A.P.S,0,0.0,6.599166830770427,6.793100625067005
BR006,2020,3,100.0,25.5929006,85.2246868,733.4829856195138,890.6740268748423,N.A.P.S,0,0.0,6.599166830770427,6.793100625067005
BR007,2018,1,316.8636363636364,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2018,2,172.95604395604394,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2018,3,107.14285714285714,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2018,4,340.31868131868134,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2019,1,305.44444444444446,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2019,2,153.13333333333333,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2019,3,104.13186813186813,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2019,4,319.9886363636364,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2020,1,260.77777777777777,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2020,2,122.26315789473684,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR007,2020,3,105.0,25.6102754,85.1293861,723.9834468481575,881.205703850489,N.A.P.S,0,0.0,6.586148822660446,6.78242525313451
BR008,2019,4,250.85714285714286,25.6189426,85.1370556,724.2843545001506,881.850200042999,N.A.P.S,0,0.0,6.586563791062877,6.783155537336536
BR008,2020,1,155.03571428571428,25.6189426,85.1370556,724.2843545001506,881.850200042999,N.A.P.S,0,0.0,6.586563791062877,6.783155537336536
BR008,2020,2,90.24444444444444,25.6189426,85.1370556,724.2843545001506,881.850200042999,N.A.P.S,0,0.0,6.586563791062877,6.783155537336536
BR008,2020,3,74.0,25.6189426,85.1370556,724.2843545001506,881.850200042999,N.A.P.S,0,0.0,6.586563791062877,6.783155537336536
BR009,2019,4,263.85714285714283,25.6066335,85.1014347,721.6026238694792,878.5325092947764,N.A.P.S,0,0.0,6.582859449857624,6.779390526876833
BR009,2020,1,169.22727272727272,25.6066335,85.1014347,721.6026238694792,878.5325092947764,N.A.P.S,0,0.0,6.582859449857624,6.779390526876833
