stationid,year,season,aqi_mean,city_clean,state_clean,district_clean,district_seasonal_rainfall_mm,state_seasonal_rainfall_mm,weighted_seasonal_rainfall_mm,rainfall_source,log_weighted_seasonal_rainfall_mm
AP001,2018,1,120.74157303370787,amaravati,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP001,2018,2,81.05555555555556,amaravati,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP001,2018,3,71.60714285714286,amaravati,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AP001,2018,4,134.88059701492537,amaravati,andhra pradesh,,,2.28453788600488,2.28453788600488,state_only,1.1892259680699455
AP001,2019,1,138.45555555555555,amaravati,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP001,2019,2,82.95402298850574,amaravati,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP001,2019,3,48.765957446808514,amaravati,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AP001,2019,4,99.55294117647058,amaravati,andhra pradesh,,,2.28453788600488,2.28453788600488,state_only,1.1892259680699455
AP001,2020,1,69.27472527472527,amaravati,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP001,2020,2,50.54945054945055,amaravati,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP001,2020,3,54.0,amaravati,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AP005,2018,1,161.25581395348837,visakhapatnam,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP005,2018,2,84.44444444444444,visakhapatnam,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP005,2018,3,97.8170731707317,visakhapatnam,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AP005,2018,4,146.88311688311688,visakhapatnam,andhra pradesh,,,2.28453788600488,2.28453788600488,state_only,1.1892259680699455
AP005,2019,1,171.35632183908046,visakhapatnam,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP005,2019,2,107.15730337078652,visakhapatnam,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP005,2019,3,90.26582278481013,visakhapatnam,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AP005,2019,4,122.30232558139535,visakhapatnam,andhra pradesh,,,2.28453788600488,2.28453788600488,state_only,1.1892259680699455
AP005,2020,1,102.55681818181819,visakhapatnam,andhra pradesh,,,0.31797330869602974,0.31797330869602974,state_only,0.27609518450653575
AP005,2020,2,67.40449438202248,visakhapatnam,andhra pradesh,,,2.425050352507692,2.425050352507692,state_only,1.231116173068223
AP005,2020,3,50.0,visakhapatnam,andhra pradesh,,,5.395456182933002,5.395456182933002,state_only,1.8555877667998486
AS001,2019,1,208.95238095238096,guwahati,assam,,,1.304970909008472,1.304970909008472,state_only,0.8350680555483491
AS001,2019,2,91.02247191011236,guwahati,assam,,,15.152517582784359,15.152517582784359,state_only,2.7820759249983826
AS001,2019,3,82.2,guwahati,assam,,,7.891187629919453,7.891187629919453,state_only,2.1850606322702215
AS001,2019,4,170.5934065934066,guwahati,assam,,,1.593115232413555,1.593115232413555,state_only,0.9528599453737961
AS001,2020,1,250.34065934065933,guwahati,assam,,,1.304970909008472,1.304970909008472,state_only,0.8350680555483491
AS001,2020,2,74.05494505494505,guwahati,assam,,,15.152517582784359,15.152517582784359,state_only,2.7820759249983826
AS001,2020,3,36.0,guwahati,assam,,,7.891187629919453,7.891187629919453,state_only,2.1850606322702215
BR005,2020,1,204.19230769230768,patna,bihar,patna,0.37578314000000007,0.4196796592606112,0.3797737326600556,district+state_weighted,0.3219195238853619
BR005,2020,2,83.54166666666667,patna,bihar,patna,2.504985474193548,3.3308015761722127,2.5800596652825174,district+state_weighted,1.2753794665537608
BR005,2020,3,198.0,patna,bihar,patna,5.451017088451613,5.957218587179852,5.497035406517817,district+state_weighted,1.8713459815553648
BR006,2020,1,212.1153846153846,patna,bihar,patna,0.37578314000000007,0.4196796592606112,0.3797737326600556,district+state_weighted,0.3219195238853619
BR006,2020,2,114.6,patna,bihar,patna,2.504985474193548,3.3308015761722127,2.5800596652825174,district+state_weighted,1.2753794665537608
BR006,2020,3,100.0,patna,bihar,patna,5.451017088451613,5.957218587179852,5.497035406517817,district+state_weighted,1.8713459815553648
BR007,2018,1,316.8636363636364,patna,bihar,patna,0.37578314000000007,0.4196796592606112,0.3797737326600556,district+state_weighted,0.3219195238853619
BR007,2018,2,172.95604395604394,patna,bihar,patna,2.504985474193548,3.3308015761722127,2.5800596652825174,district+state_weighted,1.2753794665537608
BR007,2018,3,107.14285714285714,patna,bihar,patna,5.451017088451613,5.957218587179852,5.497035406517817,district+state_weighted,1.8713459815553648
BR007,2018,4,340.31868131868134,patna,bihar,patna,0.8713436860215055,0.9738602817416808,0.8806633765415214,district+state_weighted,0.6316245744639689
BR007,2019,1,305.44444444444446,patna,bihar,patna,0.37578314000000007,0.4196796592606112,0.3797737326600556,district+state_weighted,0.3219195238853619
BR007,2019,2,153.13333333333333,patna,bihar,patna,2.504985474193548,3.3308015761722127,2.5800596652825174,district+state_weighted,1.2753794665537608
BR007,2019,3,104.13186813186813,patna,bihar,patna,5.451017088451613,5.957218587179852,5.497035406517817,district+state_weighted,1.8713459815553648
BR007,2019,4,319.9886363636364,patna,bihar,patna,0.8713436860215055,0.9738602817416808,0.8806633765415214,district+state_weighted,0.6316245744639689
BR007,2020,1,260.77777777777777,patna,bihar,patna,0.37578314000000007,0.4196796592606112,0.3797737326600556,district+state_weighted,0.3219195238853619
