stationid,year,season,aqi_mean,latitude,longitude,closest_farm_distance,mean_distance_3_nearest_farms,closest_farm_label,farm_density_100km,inverse_distance_score_100km,crop_weighted_inverse_score_100km,size_weighted_inverse_score_100km,local_size_total_100km,log_closest_farm_distance,log_mean_distance_3_nearest_farms
AP001,2018,1,120.74157303370787,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2018,2,81.05555555555556,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2018,3,71.60714285714286,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2018,4,134.88059701492537,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2019,1,138.45555555555555,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2019,2,82.95402298850574,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2019,3,48.765957446808514,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2019,4,99.55294117647058,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2020,1,69.27472527472527,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2020,2,50.54945054945055,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP001,2020,3,54.0,16.5384664,80.487276,26.192833950681166,40.02627002151993,"Krishna, Andhra Pradesh, India",5,0.11333413524711605,0.35142643387409184,0.0,0.0,3.3029534808953307,3.714212593755244
AP005,2018,1,161.25581395348837,17.7151271,83.1997752,3.7197993709596244,24.34517345255176,"Visakhapatnam, Andhra Pradesh, India",4,0.2875692877986377,0.8627078633959131,0.0,0.0,1.55176629254143,3.2325883155604633
AP005,2018,2,84.44444444444444,17.7151271,83.1997752,3.7197993709596244,24.34517345255176,"Visakhapatnam, Andhra Pradesh, India",4,0.2875692877986377,0.8627078633959131,0.0,0.0,1.55176629254143,3.2325883155604633
